Model,Algorithm,Style,Deterministic,Episodes,Eval Time (s),Speed (eps/sec),Win Rate (%),Avg Win Step,Mean Reward,Median Reward,Reward Min,Reward Max,Mean Episode Length,Median Episode Length,Episode Length Min,Episode Length Max,Spawners / Episode,Enemies / Episode,Avg Phase Reached,Avg Final HP,First Spawner Kill (steps),Phase 1 (%),Phase 2 (%),Phase 3 (%),Phase 4 (%),Phase 5 (%),0 Spawners Killed (%),1 Spawners Killed (%),2 Spawners Killed (%),3 Spawners Killed (%),5 Spawners Killed (%),6 Spawners Killed (%),8 Spawners Killed (%),10 Spawners Killed (%)
ppo_style1_20260111_194808_9500000_steps.zip,PPO,1,True,100,45.20,2.2,96.0,1634,1410.28 ± 120.67,1437.24,625.49,1498.20,1624 ± 197,1618,1080,2075,9.87 ± 0.69,13.4,4.94,141,144,0.0,0.0,2.0,2.0,96.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,96.0
ppo_style1_20260109_185210_11200000_steps.zip,PPO,1,True,100,46.67,2.1,0.0,N/A,-3.42 ± 74.02,-4.85,-135.96,485.29,1721 ± 587,1571,732,3500,1.10 ± 0.66,4.6,1.03,0,341,93.0,2.0,2.0,0.0,0.0,3.0,92.0,1.0,2.0,2.0,0.0,0.0,0.0
